📺 CCTV,#genre#
嘉佳卡通,http://150.138.8.143/00/SNM/CHANNEL00000074/index.m3u8
哈哈炫动,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00002027/index.m3u8
游戏风云,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8

📺 超高清,#genre#
CCTV-4K超高清,rtsp://150.138.8.132/PLTV/88888888/224/3221227239/494657502.smil
山东卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227442/527218192.smil
北京卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227299/518924348.smil
东方卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227331/527738511.smil
江苏卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227446/527738562.smil
浙江卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227453/527738500.smil
广东卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227437/521682524.smil
深圳卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227307/521682571.smil
四川卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227335/527738522.smil
湖南卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227316/527738296.smil

📺 山东,#genre#
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL10000313/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8

📺 青岛,#genre#
QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
QTV-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
QTV-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
QTV-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
QTV-6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
崂山,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
黄岛,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
胶州,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
莱西,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
平度,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8

📺 市县,#genre#
日照综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
日照公共,http://150.138.8.143/00/SNM/CHANNEL00001100/index.m3u8
岚山电视台,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8
五莲,http://150.138.8.143/00/SNM/CHANNEL00001068/index.m3u8
莒县,http://150.138.8.143/00/SNM/CHANNEL00001014/index.m3u8

烟台新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
烟台招远,http://150.138.8.143/00/SNM/CHANNEL00001113/index.m3u8
烟台龙口,http://150.138.8.143/00/SNM/CHANNEL00001005/index.m3u8
烟台蓬莱,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
烟台长岛,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
烟台栖霞,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
烟台牟平,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
烟台牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8

济南综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南综合,http://150.138.8.143/00/SNM/CHANNEL00000061/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济南长清,http://150.138.8.143/00/SNM/CHANNEL00001018/index.m3u8
济南商河,http://150.138.8.143/00/SNM/CHANNEL00001008/index.m3u8
济南济阳,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
济南平阴,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8
济南历城,http://150.138.8.143/00/SNM/CHANNEL00001105/index.m3u8

济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
沂水综合,http://150.138.8.143/00/SNM/CHANNEL00001098/index.m3u8
沂水生活,http://150.138.8.143/00/SNM/CHANNEL00001099/index.m3u8
济宁高新,http://150.138.8.143/00/SNM/CHANNEL00001101/index.m3u8
济宁曲阜,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
济宁兖州,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
鱼台综合,ttp://150.138.8.143/00/SNM/CHANNEL00001107/index.m3u8
鱼台生活,http://150.138.8.143/00/SNM/CHANNEL00001108/index.m3u8
济宁任城-1,http://150.138.8.143/00/SNM/CHANNEL00001111/index.m3u8
济宁任城-2,http://150.138.8.143/00/SNM/CHANNEL00001112/index.m3u8
济宁嘉祥,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
济宁邹城,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
济宁梁山,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8

潍坊1,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊2,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
潍坊3,http://150.138.8.143/00/SNM/CHANNEL00000217/index.m3u8
潍坊4,http://150.138.8.143/00/SNM/CHANNEL00000218/index.m3u8
潍坊高新区,http://150.138.8.143/00/SNM/CHANNEL00001106/index.m3u8
潍坊高密,http://150.138.8.143/00/SNM/CHANNEL00001089/index.m3u8
潍坊寿光,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
潍坊诸城,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
潍坊安丘,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8
潍坊昌乐,,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
潍坊青州,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
青州文化旅游,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
潍坊昌邑,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8
潍坊临朐,http://150.138.8.143/00/SNM/CHANNEL00001085/index.m3u8

淄博综合,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博影视,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
淄博文旅,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博民生,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博沂源,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
淄博淄川,http://150.138.8.143/00/SNM/CHANNEL00001007/index.m3u8
淄博张店,http://150.138.8.143/00/SNM/CHANNEL00001012/index.m3u8
淄博桓台,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
淄博高青,http://150.138.8.143/00/SNM/CHANNEL00001023/index.m3u8

德州综合,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州经济生活,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
德州宁津,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
德州齐河,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
德州武城,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
德州武城综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
德州禹城,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
德州禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
德州平原,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
德州夏津,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
德州夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
德州陵城,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8
德州临邑,http://150.138.8.143/00/SNM/CHANNEL00001104/index.m3u8

滨州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
滨州惠民,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
滨州无棣,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
滨州沾化,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
滨州阳信,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
滨州邹平,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8

菏泽综合,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽公共,http://150.138.8.143/00/SNM/CHANNEL00000234/index.m3u8
菏泽郓城,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
菏泽巨野,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
菏泽定陶,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
菏泽东明,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
菏泽单县,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
菏泽鄄城,http://150.138.8.143/00/SNM/CHANNEL00001084/index.m3u8

聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城民生,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
聊城冠县,http://150.138.8.143/00/SNM/CHANNEL00001040/index.m3u8
聊城莘县,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
聊城茌平,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
聊城临清,http://150.138.8.143/00/SNM/CHANNEL00001103/index.m3u8

东营综合,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
东营广饶,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8

威海公共,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
威海乳山,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
威海荣成,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
威海海阳,http://150.138.8.143/00/SNM/CHANNEL00001091/index.m3u8
威海海阳综艺,http://150.138.8.143/00/SNM/CHANNEL00001092/index.m3u8
威海？？？,http://150.138.8.143/00/SNM/CHANNEL00001093/index.m3u8

临沂河东ttp://150.138.8.143/00/SNM/CHANNEL00001109/index.m3u8
临沂莒南,http://150.138.8.143/00/SNM/CHANNEL00001011/index.m3u8
临沂蒙阴,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
临沂兰陵,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
临沂兰陵公共,http://150.138.8.143/00/SNM/CHANNEL00001095/index.m3u8

泰安泰山,http://150.138.8.143/00/SNM/CHANNEL00001114/index.m3u8
泰安东平,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
泰安岱岳,http://150.138.8.143/00/SNM/CHANNEL00001013/index.m3u8
泰安新泰,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
泰安新泰乡村,http://150.138.8.143/00/SNM/CHANNEL00001066/index.m3u8
泰安宁阳,http://150.138.8.143/00/SNM/CHANNEL00001071/index.m3u8
泰安宁阳公共,http://150.138.8.143/00/SNM/CHANNEL00001072/index.m3u8

🌐  凤凰,#genre#
凤凰卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227409/497429879.smil
凤凰资讯,rtsp://150.138.8.132/PLTV/88888888/224/3221227280/516918666.smil
凤凰香港,rtsp://150.138.8.132/PLTV/88888888/224/3221227291/516918680.smil
新加坡亚洲新闻,rtsp://150.138.8.132/PLTV/88888888/224/3221227422/517070372.smil
NHK WORLD,rtsp://150.138.8.132/PLTV/88888888/224/3221227292/517077885.smil
澳视Macau,rtsp://150.138.8.132/PLTV/88888888/224/3221227295/517077830.smil
法兰西24,rtsp://150.138.8.132/PLTV/88888888/224/3221227284/517077846.smil
DW,rtsp://150.138.8.132/PLTV/88888888/224/3221227288/517077815.smil
中华特产,rtsp://150.138.8.132/PLTV/88888888/224/3221227315/523620991.smil
海洋频道,rtsp://150.138.8.132/PLTV/88888888/224/3221227353/449855977.smil
9屏,rtsp://150.138.8.132/PLTV/88888888/224/3221226598/10000100000000060000000003878453_0.smil

CCTV回看,#genre#
CCTV-1,rtsp://150.138.8.132/PLTV/88888888/224/3221226103/10000100000000060000000002902003_0.smil
CCTV-2,rtsp://150.138.8.132/PLTV/88888888/224/3221226173/10000100000000060000000003110715_0.smil
CCTV-3,rtsp://150.138.8.132/PLTV/88888888/224/3221227134/415322505.smil
CCTV-4,rtsp://150.138.8.132/PLTV/88888888/224/3221226179/10000100000000060000000003110724_0.smil
CCTV-5,rtsp://150.138.8.132/PLTV/88888888/224/3221227138/415322482.smil
CCTV-5+,rtsp://150.138.8.132/PLTV/88888888/224/3221226143/10000100000000060000000003071273_0.smil
CCTV-6,rtsp://150.138.8.132/PLTV/88888888/224/3221227213/432747447.smil
CCTV-7,rtsp://150.138.8.132/PLTV/88888888/224/3221226175/10000100000000060000000003110716_0.smil
CCTV-8,rtsp://150.138.8.132/PLTV/88888888/224/3221227031/410248915.smil
CCTV-9,rtsp://150.138.8.132/PLTV/88888888/224/3221226177/10000100000000060000000003110720_0.smil
CCTV-10,rtsp://150.138.8.132/PLTV/88888888/224/3221226181/10000100000000060000000003110727_0.smil
CCTV-11,rtsp://150.138.8.132/PLTV/88888888/224/3221226826/395256095.smil
CCTV-12,rtsp://150.138.8.132/PLTV/88888888/224/3221226183/10000100000000060000000003110728_0.smil
CCTV-13,rtsp://150.138.8.132/PLTV/88888888/224/3221226767/395256391.smil
CCTV-14,rtsp://150.138.8.132/PLTV/88888888/224/3221226185/10000100000000060000000003110729_0.smil
CCTV-15,rtsp://150.138.8.132/PLTV/88888888/224/3221226736/395256223.smil
CCTV-17,rtsp://150.138.8.132/PLTV/88888888/224/3221226366/10000100000000060000000003766311_0.smil

卫视回看,#genre#
山东卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226059/10000100000000060000000002709088_0.smil
山东齐鲁,rtsp://150.138.8.132/PLTV/88888888/224/3221226119/10000100000000060000000002952439_0.smil
山东文旅,rtsp://150.138.8.132/PLTV/88888888/224/3221226233/10000100000000060000000003385231_0.smil
山东生活,rtsp://150.138.8.132/PLTV/88888888/224/3221226276/10000100000000060000000003357334_0.smil
山东综艺,rtsp://150.138.8.132/PLTV/88888888/224/3221226235/10000100000000060000000003385298_0.smil
山东体育,rtsp://150.138.8.132/PLTV/88888888/224/3221226139/10000100000000060000000003064319_0.smil
山东新闻,rtsp://150.138.8.132/PLTV/88888888/224/3221226137/10000100000000060000000003064294_0.smil
山东农科,rtsp://150.138.8.132/PLTV/88888888/224/3221226279/10000100000000060000000003687322_0.smil
山东少儿,rtsp://150.138.8.132/PLTV/88888888/224/3221226810/391572871.smil
山东教育,rtsp://150.138.8.132/PLTV/88888888/224/3221226219/10000100000000060000000003301182_0.smil
湖南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226187/10000100000000060000000003110730_0.smil
浙江卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226090/10000100000000060000000002709093_0.smil
东方卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226150/10000100000000060000000002807413_0.smil
江苏卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226063/10000100000000060000000002709090_0.smil
北京卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226061/10000100000000060000000002709089_0.smil
安徽卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226189/10000100000000060000000003110731_0.smil
天津卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226211/10000100000000060000000003301168_0.smil
辽宁卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226209/10000100000000060000000003301163_0.smil
深圳卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226088/10000100000000060000000002709106_0.smil
东南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226154/10000100000000060000000002885447_0.smil
湖北卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226207/10000100000000060000000003301162_0.smil
广东卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226067/10000100000000060000000002709095_0.smil
黑龙江卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226065/10000100000000060000000002709094_0.smil
重庆卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226671/10000100000000060000000004141140_0.smil
贵州卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226213/10000100000000060000000003301172_0.smil
江西卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226215/10000100000000060000000003301175_0.smil
河北卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226217/10000100000000060000000003301180_0.smil
海南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226845/397438344.smil
四川卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226842/397438339.smil
山西卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226015/10000100000000060000000002706922_0.smil
河南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227129/410142845.smil
广西卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227214/438782489.smil
吉林卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227161/411800545.smil
云南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227210/438782321.smil
陕西卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226018/10000100000000060000000002706915_0.smil
内蒙古卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226034/10000100000000060000000002706931_0.smil
宁夏卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226040/10000100000000060000000002706934_0.smil
新疆卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226042/10000100000000060000000002706935_0.smil
甘肃卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226832/402020797.smil
青海卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227104/438782477.smil
西藏卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226019/10000100000000060000000002706936_0.smil
金鹰卡通,rtsp://150.138.8.132/PLTV/88888888/224/3221227164/443837474.smil
KAKU少儿,rtsp://150.138.8.132/PLTV/88888888/224/3221227167/448429701.smil
优漫卡通,rtsp://150.138.8.132/PLTV/88888888/224/3221226066/10000100000000060000000002706940_0.smil
金鹰纪实,rtsp://150.138.8.132/PLTV/88888888/224/3221226221/10000100000000060000000003301183_0.smil
兵团卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226726/10000100000000060000000004141145_0.smil
农林卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226697/10000100000000060000000004141149_0.smil
中国交通,rtsp://150.138.8.132/PLTV/88888888/224/3221226801/392270229.smil
三沙卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226775/395256446.smil
嘉佳卡通,rtsp://150.138.8.132/PLTV/88888888/224/3221226740/395256412.smil
厦门卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226771/395256452.smil
中国教育-1,rtsp://150.138.8.132/PLTV/88888888/224/3221226744/395256464.smil
中国教育-2,rtsp://150.138.8.132/PLTV/88888888/224/3221226834/395256487.smil
中国教育-4,rtsp://150.138.8.132/PLTV/88888888/224/3221227187/456916096.smil

CCTV-4K超高清,rtsp://150.138.8.132/PLTV/88888888/224/3221227239/494657502.smil
广东卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227437/521682524.smil
深圳卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227307/521682571.smil
北京卫视4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227299/518924348.smil
海看4K,rtsp://150.138.8.132/PLTV/88888888/224/3221226251/10000100000000060000000003524990_0.smil

CCTV-4 欧洲,rtsp://150.138.8.132/PLTV/88888888/224/3221227070/409210222.smil
CCTV-4 美洲,rtsp://150.138.8.132/PLTV/88888888/224/3221227105/409210218.smil
CGTN 英语,rtsp://150.138.8.132/PLTV/88888888/224/3221226976/409209237.smil
CGTN 纪录,rtsp://150.138.8.132/PLTV/88888888/224/3221226991/409210231.smil
